Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
qppgiTX8DsNrsrzZYMEqRMrfYemBpdir3DBqV9WPQvEZRSMTavZ8JP7JFMbmU6Yy3qfnjT3iqFi639EQTB9NJWD,1751619167,2025-07-04T08:52:47.000Z,TRANSFER,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,33524602929,out,5028.87,9,SOL,1
3hgibyAhhs3MD5QRwNoWRRHWsBKeuT78BdcutVU1RNRTBwvfYzq2YFw9tXeK4KLMTwgr3WwbALWtUWDiXBdcREnS,1751545316,2025-07-03T12:21:56.000Z,TRANSFER,CB9VbuXPziRjvUMcrrekeK6V8KDrR9f7q2LaSkaFMFE,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,33524617929,in,5169.05,9,SOL,1
p57hv2KFxoYLSNSbzCZAvU7tVK29K3ws4q7Q7JzbCVjCwUmUJxFMybDjr6YGx1BNZhvLghASYpUp7xxAPRnWB27,1750237027,2025-06-18T08:57:07.000Z,TRANSFER,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,23987475000,out,3541.41,9,SOL,1
4SsYfFWJrWQsCYjyeanfvQZgEyJ2TVx2s1p994nveVDENPRbZqFLqxcwX6hct9xRgZQ7SMuCpuZw4rMozPgsZSzT,1750183108,2025-06-17T17:58:28.000Z,TRANSFER,CB9VbuXPziRjvUMcrrekeK6V8KDrR9f7q2LaSkaFMFE,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,17000000000,in,2490.2,9,SOL,1
5GV4hRApT7jZLxJiX3ERNujnV17EuM7d4cuWaq22QT3L8RLVhmBDcktPFdmjhFnCVsv97PfWzsbSpzWUxRziD7xp,1750183077,2025-06-17T17:57:57.000Z,TRANSFER,FxynPH3vHMooQX1bGZywWJNHueeC64Nv1XS8dZqsUVtE,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,6987490000,in,1023.54,9,SOL,1
35EyEN82n25D1BidVzfk6hETLqymD7T14tmQmKabBxdPLqh2sHsaoxtje7BBeTrsfRPRRRjDHDpAN2HziaG1rpaf,1747991835,2025-05-23T09:17:15.000Z,TRANSFER,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,44396751710,out,8305.36,9,SOL,1
5p41q3rb4hj8ccdX5PUkMpUFCJZeaQXUvqvB7sEnr19vCew2bKeyELr6JnwUfTKn2MzoZWySh5ZJH2hyqhkaHnhv,1747942928,2025-05-22T19:42:08.000Z,TRANSFER,CB9VbuXPziRjvUMcrrekeK6V8KDrR9f7q2LaSkaFMFE,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,44396766710,in,7915.7,9,SOL,1
Yfy8EpUcba2UDHrfYXEdw8cgpKcDpYTnh4qYuAMwW4aLTxnuJjuQKVyJkGeLKWuHLr5rgNKyZkJr4V92bNCWu73,1747905141,2025-05-22T09:12:21.000Z,TRANSFER,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,30536601590,out,5513.08,9,SOL,1
3DM2foKdySKHkHjjEiWyg5C3jCdEsoHS13dGP5aXm4HjT9C9eG3zUdepaUfYax8ntaAHPtH2pYoitH2xxwsypSe9,1747865837,2025-05-21T22:17:17.000Z,TRANSFER,9nNLzq7ccL4nvDAMVP7aPoUv8Ti3qXZqnNaee8Qp57WE,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,30536616590,in,5193.69,9,SOL,1
3ZSKxbNUZ7gQRvkrMkCiB9CFKLHStqG1eWkbJcJPBhBA9wS6h9zKDxLYcccZ5uUS9mgbkJZF4tAUms1iiQ4iGgVp,1747817555,2025-05-21T08:52:35.000Z,TRANSFER,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,39999985000,out,6743.02,9,SOL,1
2sWwe78pavWgg3WtpGZArCx2tZMdat9pd8DNA7zGhqLcxSzfvWuZUP1amhiZKa9urDSTyLWpZH3kUoGRLpUxsu2W,1747743222,2025-05-20T12:13:42.000Z,TRANSFER,GSSU8kxA4RJfhPz68NT6bHNkMRtoKKgQW28HEU94oi8t,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,18000000000,in,2992.34,9,SOL,1
29DPCtZXPhztWfB4vnVjnB54ty8Eq91uoZaDKg2aAW36DoqMGiyTQFfqqrPCaZVhE4fhJPnMMr811DbpzkQY2nuv,1747742169,2025-05-20T11:56:09.000Z,TRANSFER,9nNLzq7ccL4nvDAMVP7aPoUv8Ti3qXZqnNaee8Qp57WE,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,22000000000,in,3661.59,9,SOL,1
i8mnCF2ukhrGedVpMt8Pzxy3buiw5pUuyLtmit3ghGGPj7Z88PTRFU15xcYJewLbGyBsma2aJLwbVzSW48gzBCc,1747387003,2025-05-16T09:16:43.000Z,TRANSFER,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,25999986000,out,4446.19,9,SOL,1
h8G3DCFzVssrBvv2PdspK5BZkTK6D6eHBJT9k5ywJQfXZft5NE2EqiAEq5jrzhsg7tk72qMSAmyVizbp8xXQjJo,1747329057,2025-05-15T17:10:57.000Z,TRANSFER,9nNLzq7ccL4nvDAMVP7aPoUv8Ti3qXZqnNaee8Qp57WE,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,26000000000,in,4506.23,9,SOL,1
3Xo4xDRWjkcvM1ESNyk8ePVWYCyQDFTaP5ZKYbby6SRii3jvu4n3msnPZmgJu6EQioajrzwK5pfQeKgmqkXEfvLC,1739781004,2025-02-17T08:30:04.000Z,TRANSFER,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,1.33161E+11,out,24209.91,9,SOL,1
3iwJTvrjcgjYumm6Awsvf51dvoQJZ39oiBK3aYQnVAUoxhsjsGwBb7YKErM8sTXbWjcnUVxkzP1HXSmvknBBWuep,1739738424,2025-02-16T20:40:24.000Z,TRANSFER,9nNLzq7ccL4nvDAMVP7aPoUv8Ti3qXZqnNaee8Qp57WE,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,1.3316E+11,in,25146.03,9,SOL,1
3ZuUHJX9ZuiaA4oHXiKkwQuhJuRuKV58UZUW194i8pPPRJa1THtyQVHxvK1wh8LxnP3wvVVrAEuJfChjRM5FSWfF,1735115426,2024-12-25T08:30:26.000Z,TRANSFER,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,45994997000,out,9135.99,9,SOL,1
3QYVfLWNpQftMgJtJo2Un8XGk1weVEoHyzCkWA1Sb9eyrMifSUmFXwPYiSUkEEpkWRtP6LzUgxro6dDuuDgrqkqd,1735083443,2024-12-24T23:37:23.000Z,TRANSFER,7ghUjHdUzFsFRU7nGpGJbs5ZktnrReEJsZGmcQLNECNs,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,32000000000,in,6308.8,9,SOL,1
9Nt6rBX3dE93be2D9vZ2RaHZMDfUptXwukZWmzqPzmBssZPRy4eBA8Lb8fRGQsiAvYs5aZaHowwWtuLZJfYrQAe,1735083412,2024-12-24T23:36:52.000Z,TRANSFER,9nNLzq7ccL4nvDAMVP7aPoUv8Ti3qXZqnNaee8Qp57WE,F4SkBcN7VoyA27dY96A3k9QzEMrFju7PwPY6tswRjmKX,14000000000,in,2760.1,9,SOL,1
